ticker,timestamp,open,high,low,close,volume
VN30,2022-08-29 00:00,1296.03,1296.03,1275.4,1293.25,173563900.0
VN30,2022-08-30 00:00,1293.41,1307.12,1293.41,1298.14,112402300.0
VN30,2022-08-31 00:00,1295.71,1306.45,1294.34,1301.44,102743200.0
VN30,2022-09-05 00:00,1300.5,1305.62,1294.44,1298.15,109232200.0
VN30,2022-09-06 00:00,1298.74,1305.9,1296.58,1299.06,120583700.0
VN30,2022-09-07 00:00,1297.31,1298.17,1268.95,1268.95,186486100.0
VN30,2022-09-08 00:00,1277.63,1279.34,1265.57,1265.57,123700800.0
VN30,2022-09-09 00:00,1273.37,1275.64,1259.35,1275.64,160990000.0
VN30,2022-09-12 00:00,1281.62,1285.17,1275.45,1275.6,100415736.0
VN30,2022-09-13 00:00,1277.48,1279.55,1271.22,1272.48,94065400.0
VN30,2022-09-14 00:00,1254.44,1262.8,1250.98,1260.88,142289600.0
VN30,2022-09-15 00:00,1267.24,1269.54,1260.51,1262.82,100855503.0
VN30,2022-09-16 00:00,1259.9,1263.97,1248.13,1252.78,155329900.0
VN30,2022-09-19 00:00,1251.43,1253.45,1225.18,1229.88,151641011.0
VN30,2022-09-20 00:00,1235.93,1241.07,1224.96,1241.07,93793700.0
VN30,2022-09-21 00:00,1235.84,1236.05,1223.02,1228.2,74977165.0
VN30,2022-09-22 00:00,1217.63,1229.26,1210.65,1228.94,94760981.0
VN30,2022-09-23 00:00,1227.34,1230.72,1213.74,1215.41,85925934.0
VN30,2022-09-26 00:00,1199.39,1201.89,1172.37,1187.22,169125297.0
VN30,2022-09-27 00:00,1190.46,1193.79,1181.43,1182.46,82495496.0
VN30,2022-09-28 00:00,1173.82,1177.58,1160.66,1160.66,90819846.0
VN30,2022-09-29 00:00,1166.59,1177.21,1147.44,1147.44,88092778.0
VN30,2022-09-30 00:00,1140.18,1158.2,1128.57,1152.01,150912102.0
VN30,2022-10-03 00:00,1141.87,1144.95,1094.49,1102.0,156244153.0
